
********* 1 numero epoca corrente *********

Evaluator All User
CUTOFF: 1 - ROC_AUC: 0.0117756, PRECISION: 0.0117756, PRECISION_RECALL_MIN_DEN: 0.0117756, RECALL: 0.0117756, MAP: 0.0117756, MRR: 0.0117756, NDCG: 0.0117756, F1: 0.0117756, HIT_RATE: 0.0117756, ARHR: 0.0117756, NOVELTY: 0.0036317, AVERAGE_POPULARITY: 0.0725566, DIVERSITY_MEAN_INTER_LIST: 0.9994516, DIVERSITY_HERFINDAHL: 0.9992208, COVERAGE_ITEM: 0.5083648, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3353792, SHANNON_ENTROPY: 10.5940460, 
CUTOFF: 2 - ROC_AUC: 0.0117756, PRECISION: 0.0111983, PRECISION_RECALL_MIN_DEN: 0.0223967, RECALL: 0.0223967, MAP: 0.0170861, MRR: 0.0170861, NDCG: 0.0184767, F1: 0.0149311, HIT_RATE: 0.0223967, ARHR: 0.0170861, NOVELTY: 0.0072554, AVERAGE_POPULARITY: 0.0720789, DIVERSITY_MEAN_INTER_LIST: 0.9989654, DIVERSITY_HERFINDAHL: 0.9993673, COVERAGE_ITEM: 0.6578521, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4056707, SHANNON_ENTROPY: 10.9039528, 
CUTOFF: 3 - ROC_AUC: 0.0170861, PRECISION: 0.0104672, PRECISION_RECALL_MIN_DEN: 0.0314015, RECALL: 0.0314015, MAP: 0.0200877, MRR: 0.0200877, NDCG: 0.0229792, F1: 0.0157008, HIT_RATE: 0.0314015, ARHR: 0.0200877, NOVELTY: 0.0109081, AVERAGE_POPULARITY: 0.0722787, DIVERSITY_MEAN_INTER_LIST: 0.9985573, DIVERSITY_HERFINDAHL: 0.9994422, COVERAGE_ITEM: 0.7236913, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4468225, SHANNON_ENTROPY: 11.0474733, 
CUTOFF: 4 - ROC_AUC: 0.0218579, PRECISION: 0.0102748, PRECISION_RECALL_MIN_DEN: 0.0410991, RECALL: 0.0410991, MAP: 0.0225121, MRR: 0.0225121, NDCG: 0.0271557, F1: 0.0164396, HIT_RATE: 0.0410991, ARHR: 0.0225121, NOVELTY: 0.0145308, AVERAGE_POPULARITY: 0.0727734, DIVERSITY_MEAN_INTER_LIST: 0.9980276, DIVERSITY_HERFINDAHL: 0.9994493, COVERAGE_ITEM: 0.7504047, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4505425, SHANNON_ENTROPY: 11.0680130, 
CUTOFF: 5 - ROC_AUC: 0.0266682, PRECISION: 0.0102517, PRECISION_RECALL_MIN_DEN: 0.0512584, RECALL: 0.0512584, MAP: 0.0245440, MRR: 0.0245440, NDCG: 0.0310858, F1: 0.0170861, HIT_RATE: 0.0512584, ARHR: 0.0245440, NOVELTY: 0.0181393, AVERAGE_POPULARITY: 0.0735152, DIVERSITY_MEAN_INTER_LIST: 0.9974670, DIVERSITY_HERFINDAHL: 0.9994473, COVERAGE_ITEM: 0.7641662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4482345, SHANNON_ENTROPY: 11.0668346, 
CUTOFF: 6 - ROC_AUC: 0.0315862, PRECISION: 0.0105441, PRECISION_RECALL_MIN_DEN: 0.0632648, RECALL: 0.0632648, MAP: 0.0265451, MRR: 0.0265451, NDCG: 0.0353626, F1: 0.0180757, HIT_RATE: 0.0632648, ARHR: 0.0265451, NOVELTY: 0.0217705, AVERAGE_POPULARITY: 0.0736377, DIVERSITY_MEAN_INTER_LIST: 0.9969256, DIVERSITY_HERFINDAHL: 0.9994492, COVERAGE_ITEM: 0.7814355, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4499106, SHANNON_ENTROPY: 11.0758256, 
CUTOFF: 7 - ROC_AUC: 0.0368660, PRECISION: 0.0101923, PRECISION_RECALL_MIN_DEN: 0.0713461, RECALL: 0.0713461, MAP: 0.0276995, MRR: 0.0276995, NDCG: 0.0380564, F1: 0.0178365, HIT_RATE: 0.0713461, ARHR: 0.0276995, NOVELTY: 0.0253926, AVERAGE_POPULARITY: 0.0736300, DIVERSITY_MEAN_INTER_LIST: 0.9964300, DIVERSITY_HERFINDAHL: 0.9994571, COVERAGE_ITEM: 0.7933081, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4544114, SHANNON_ENTROPY: 11.0904129, 
CUTOFF: 8 - ROC_AUC: 0.0417917, PRECISION: 0.0105634, PRECISION_RECALL_MIN_DEN: 0.0845070, RECALL: 0.0845070, MAP: 0.0293446, MRR: 0.0293446, NDCG: 0.0422082, F1: 0.0187793, HIT_RATE: 0.0845070, ARHR: 0.0293446, NOVELTY: 0.0290250, AVERAGE_POPULARITY: 0.0736980, DIVERSITY_MEAN_INTER_LIST: 0.9959240, DIVERSITY_HERFINDAHL: 0.9994618, COVERAGE_ITEM: 0.8022126, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4575056, SHANNON_ENTROPY: 11.1010736, 
CUTOFF: 9 - ROC_AUC: 0.0471311, PRECISION: 0.0107237, PRECISION_RECALL_MIN_DEN: 0.0965135, RECALL: 0.0965135, MAP: 0.0306787, MRR: 0.0306787, NDCG: 0.0458225, F1: 0.0193027, HIT_RATE: 0.0965135, ARHR: 0.0306787, NOVELTY: 0.0326529, AVERAGE_POPULARITY: 0.0734424, DIVERSITY_MEAN_INTER_LIST: 0.9955575, DIVERSITY_HERFINDAHL: 0.9994808, COVERAGE_ITEM: 0.8130059, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4707381, SHANNON_ENTROPY: 11.1347841, 
CUTOFF: 10 - ROC_AUC: 0.0526181, PRECISION: 0.0105287, PRECISION_RECALL_MIN_DEN: 0.1052875, RECALL: 0.1052875, MAP: 0.0315561, MRR: 0.0315561, NDCG: 0.0483587, F1: 0.0191432, HIT_RATE: 0.1052875, ARHR: 0.0315561, NOVELTY: 0.0362835, AVERAGE_POPULARITY: 0.0733570, DIVERSITY_MEAN_INTER_LIST: 0.9952506, DIVERSITY_HERFINDAHL: 0.9995021, COVERAGE_ITEM: 0.8224501, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4888485, SHANNON_ENTROPY: 11.1798568, 
