
********* 1 numero epoca corrente *********

Evaluator All User
CUTOFF: 1 - ROC_AUC: 0.2154237, PRECISION: 0.2154237, PRECISION_RECALL_MIN_DEN: 0.2154237, RECALL: 0.2154237, MAP: 0.2154237, MRR: 0.2154237, NDCG: 0.2154237, F1: 0.2154237, HIT_RATE: 0.2154237, ARHR: 0.2154237, NOVELTY: 0.0027534, AVERAGE_POPULARITY: 0.3204801, DIVERSITY_MEAN_INTER_LIST: 0.9982759, DIVERSITY_HERFINDAHL: 0.9980454, COVERAGE_ITEM: 0.3275769, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1653939, SHANNON_ENTROPY: 9.5952914, 
CUTOFF: 2 - ROC_AUC: 0.2154237, PRECISION: 0.1709767, PRECISION_RECALL_MIN_DEN: 0.3419534, RECALL: 0.3419534, MAP: 0.2786885, MRR: 0.2786885, NDCG: 0.2952550, F1: 0.2279689, HIT_RATE: 0.3419534, ARHR: 0.2786885, NOVELTY: 0.0055804, AVERAGE_POPULARITY: 0.2954898, DIVERSITY_MEAN_INTER_LIST: 0.9972373, DIVERSITY_HERFINDAHL: 0.9985035, COVERAGE_ITEM: 0.4436050, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2078691, SHANNON_ENTROPY: 9.9585933, 
CUTOFF: 3 - ROC_AUC: 0.2786885, PRECISION: 0.1423844, PRECISION_RECALL_MIN_DEN: 0.4271531, RECALL: 0.4271531, MAP: 0.3070884, MRR: 0.3070884, NDCG: 0.3378549, F1: 0.2135765, HIT_RATE: 0.4271531, ARHR: 0.3070884, NOVELTY: 0.0084516, AVERAGE_POPULARITY: 0.2782762, DIVERSITY_MEAN_INTER_LIST: 0.9964069, DIVERSITY_HERFINDAHL: 0.9987256, COVERAGE_ITEM: 0.5124123, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2345241, SHANNON_ENTROPY: 10.1505461, 
CUTOFF: 4 - ROC_AUC: 0.3281767, PRECISION: 0.1242207, PRECISION_RECALL_MIN_DEN: 0.4968829, RECALL: 0.4968829, MAP: 0.3245209, MRR: 0.3245209, NDCG: 0.3678859, F1: 0.1987532, HIT_RATE: 0.4968829, ARHR: 0.3245209, NOVELTY: 0.0113704, AVERAGE_POPULARITY: 0.2634185, DIVERSITY_MEAN_INTER_LIST: 0.9957483, DIVERSITY_HERFINDAHL: 0.9988796, COVERAGE_ITEM: 0.5677280, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2595583, SHANNON_ENTROPY: 10.3049679, 
CUTOFF: 5 - ROC_AUC: 0.3703533, PRECISION: 0.1094435, PRECISION_RECALL_MIN_DEN: 0.5472177, RECALL: 0.5472177, MAP: 0.3345879, MRR: 0.3345879, NDCG: 0.3873581, F1: 0.1824059, HIT_RATE: 0.5472177, ARHR: 0.3345879, NOVELTY: 0.0143012, AVERAGE_POPULARITY: 0.2538739, DIVERSITY_MEAN_INTER_LIST: 0.9950870, DIVERSITY_HERFINDAHL: 0.9989714, COVERAGE_ITEM: 0.6092822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2769755, SHANNON_ENTROPY: 10.4047444, 
CUTOFF: 6 - ROC_AUC: 0.4057262, PRECISION: 0.0982067, PRECISION_RECALL_MIN_DEN: 0.5892404, RECALL: 0.5892404, MAP: 0.3415916, MRR: 0.3415916, NDCG: 0.4023268, F1: 0.1683544, HIT_RATE: 0.5892404, ARHR: 0.3415916, NOVELTY: 0.0172623, AVERAGE_POPULARITY: 0.2451481, DIVERSITY_MEAN_INTER_LIST: 0.9945147, DIVERSITY_HERFINDAHL: 0.9990475, COVERAGE_ITEM: 0.6478683, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2935247, SHANNON_ENTROPY: 10.4932848, 
CUTOFF: 7 - ROC_AUC: 0.4363119, PRECISION: 0.0892898, PRECISION_RECALL_MIN_DEN: 0.6250289, RECALL: 0.6250289, MAP: 0.3467043, MRR: 0.3467043, NDCG: 0.4142563, F1: 0.1562572, HIT_RATE: 0.6250289, ARHR: 0.3467043, NOVELTY: 0.0202477, AVERAGE_POPULARITY: 0.2370884, DIVERSITY_MEAN_INTER_LIST: 0.9939767, DIVERSITY_HERFINDAHL: 0.9991067, COVERAGE_ITEM: 0.6772801, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3075846, SHANNON_ENTROPY: 10.5638906, 
CUTOFF: 8 - ROC_AUC: 0.4632714, PRECISION: 0.0816497, PRECISION_RECALL_MIN_DEN: 0.6531979, RECALL: 0.6531979, MAP: 0.3502254, MRR: 0.3502254, NDCG: 0.4231427, F1: 0.1451551, HIT_RATE: 0.6531979, ARHR: 0.3502254, NOVELTY: 0.0232540, AVERAGE_POPULARITY: 0.2298652, DIVERSITY_MEAN_INTER_LIST: 0.9934951, DIVERSITY_HERFINDAHL: 0.9991582, COVERAGE_ITEM: 0.6994064, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3212631, SHANNON_ENTROPY: 10.6278320, 
CUTOFF: 9 - ROC_AUC: 0.4870122, PRECISION: 0.0757331, PRECISION_RECALL_MIN_DEN: 0.6815978, RECALL: 0.6815978, MAP: 0.3533809, MRR: 0.3533809, NDCG: 0.4316919, F1: 0.1363196, HIT_RATE: 0.6815978, ARHR: 0.3533809, NOVELTY: 0.0262902, AVERAGE_POPULARITY: 0.2232349, DIVERSITY_MEAN_INTER_LIST: 0.9930455, DIVERSITY_HERFINDAHL: 0.9992018, COVERAGE_ITEM: 0.7234215, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3349030, SHANNON_ENTROPY: 10.6880804, 
CUTOFF: 10 - ROC_AUC: 0.5086329, PRECISION: 0.0703071, PRECISION_RECALL_MIN_DEN: 0.7030709, RECALL: 0.7030709, MAP: 0.3555283, MRR: 0.3555283, NDCG: 0.4378990, F1: 0.1278311, HIT_RATE: 0.7030709, ARHR: 0.3555283, NOVELTY: 0.0293349, AVERAGE_POPULARITY: 0.2173066, DIVERSITY_MEAN_INTER_LIST: 0.9926236, DIVERSITY_HERFINDAHL: 0.9992394, COVERAGE_ITEM: 0.7396114, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3470657, SHANNON_ENTROPY: 10.7390196, 

Evaluator F User
CUTOFF: 1 - ROC_AUC: 0.2035088, PRECISION: 0.2035088, PRECISION_RECALL_MIN_DEN: 0.2035088, RECALL: 0.2035088, MAP: 0.2035088, MRR: 0.2035088, NDCG: 0.2035088, F1: 0.2035088, HIT_RATE: 0.2035088, ARHR: 0.2035088, NOVELTY: 0.0027511, AVERAGE_POPULARITY: 0.3221136, DIVERSITY_MEAN_INTER_LIST: 0.9982432, DIVERSITY_HERFINDAHL: 0.9976595, COVERAGE_ITEM: 0.2142472, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.1298100, SHANNON_ENTROPY: 9.1988594, 
CUTOFF: 2 - ROC_AUC: 0.2035088, PRECISION: 0.1634503, PRECISION_RECALL_MIN_DEN: 0.3269006, RECALL: 0.3269006, MAP: 0.2652047, MRR: 0.2652047, NDCG: 0.2813603, F1: 0.2179337, HIT_RATE: 0.3269006, ARHR: 0.2652047, NOVELTY: 0.0055857, AVERAGE_POPULARITY: 0.2939465, DIVERSITY_MEAN_INTER_LIST: 0.9972057, DIVERSITY_HERFINDAHL: 0.9983113, COVERAGE_ITEM: 0.3205613, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.1777895, SHANNON_ENTROPY: 9.6969679, 
CUTOFF: 3 - ROC_AUC: 0.2652047, PRECISION: 0.1409357, PRECISION_RECALL_MIN_DEN: 0.4228070, RECALL: 0.4228070, MAP: 0.2971735, MRR: 0.2971735, NDCG: 0.3293136, F1: 0.2114035, HIT_RATE: 0.4228070, ARHR: 0.2971735, NOVELTY: 0.0084725, AVERAGE_POPULARITY: 0.2752603, DIVERSITY_MEAN_INTER_LIST: 0.9964670, DIVERSITY_HERFINDAHL: 0.9986281, COVERAGE_ITEM: 0.4007016, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.2139642, SHANNON_ENTROPY: 9.9862739, 
CUTOFF: 4 - ROC_AUC: 0.3177388, PRECISION: 0.1220760, PRECISION_RECALL_MIN_DEN: 0.4883041, RECALL: 0.4883041, MAP: 0.3135478, MRR: 0.3135478, NDCG: 0.3575216, F1: 0.1953216, HIT_RATE: 0.4883041, ARHR: 0.3135478, NOVELTY: 0.0113917, AVERAGE_POPULARITY: 0.2626892, DIVERSITY_MEAN_INTER_LIST: 0.9957545, DIVERSITY_HERFINDAHL: 0.9987930, COVERAGE_ITEM: 0.4633028, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.2409000, SHANNON_ENTROPY: 10.1692334, 
CUTOFF: 5 - ROC_AUC: 0.3603801, PRECISION: 0.1088889, PRECISION_RECALL_MIN_DEN: 0.5444444, RECALL: 0.5444444, MAP: 0.3247758, MRR: 0.3247758, NDCG: 0.3792397, F1: 0.1814815, HIT_RATE: 0.5444444, ARHR: 0.3247758, NOVELTY: 0.0143279, AVERAGE_POPULARITY: 0.2523649, DIVERSITY_MEAN_INTER_LIST: 0.9951006, DIVERSITY_HERFINDAHL: 0.9989037, COVERAGE_ITEM: 0.5086346, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.2607251, SHANNON_ENTROPY: 10.2930356, 
CUTOFF: 6 - ROC_AUC: 0.3971930, PRECISION: 0.0994152, PRECISION_RECALL_MIN_DEN: 0.5964912, RECALL: 0.5964912, MAP: 0.3334503, MRR: 0.3334503, NDCG: 0.3977791, F1: 0.1704261, HIT_RATE: 0.5964912, ARHR: 0.3334503, NOVELTY: 0.0172917, AVERAGE_POPULARITY: 0.2432563, DIVERSITY_MEAN_INTER_LIST: 0.9945606, DIVERSITY_HERFINDAHL: 0.9989965, COVERAGE_ITEM: 0.5477604, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.2790333, SHANNON_ENTROPY: 10.3986592, 
CUTOFF: 7 - ROC_AUC: 0.4304094, PRECISION: 0.0914787, PRECISION_RECALL_MIN_DEN: 0.6403509, RECALL: 0.6403509, MAP: 0.3397160, MRR: 0.3397160, NDCG: 0.4123990, F1: 0.1600877, HIT_RATE: 0.6403509, ARHR: 0.3397160, NOVELTY: 0.0202661, AVERAGE_POPULARITY: 0.2361229, DIVERSITY_MEAN_INTER_LIST: 0.9940058, DIVERSITY_HERFINDAHL: 0.9990606, COVERAGE_ITEM: 0.5798705, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.2937603, SHANNON_ENTROPY: 10.4785403, 
CUTOFF: 8 - ROC_AUC: 0.4604010, PRECISION: 0.0839181, PRECISION_RECALL_MIN_DEN: 0.6713450, RECALL: 0.6713450, MAP: 0.3435902, MRR: 0.3435902, NDCG: 0.4221766, F1: 0.1491878, HIT_RATE: 0.6713450, ARHR: 0.3435902, NOVELTY: 0.0232600, AVERAGE_POPULARITY: 0.2294804, DIVERSITY_MEAN_INTER_LIST: 0.9934898, DIVERSITY_HERFINDAHL: 0.9991136, COVERAGE_ITEM: 0.6055046, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.3065722, SHANNON_ENTROPY: 10.5439545, 
CUTOFF: 9 - ROC_AUC: 0.4867690, PRECISION: 0.0777778, PRECISION_RECALL_MIN_DEN: 0.7000000, RECALL: 0.7000000, MAP: 0.3467741, MRR: 0.3467741, NDCG: 0.4308026, F1: 0.1400000, HIT_RATE: 0.7000000, ARHR: 0.3467741, NOVELTY: 0.0262743, AVERAGE_POPULARITY: 0.2234714, DIVERSITY_MEAN_INTER_LIST: 0.9929920, DIVERSITY_HERFINDAHL: 0.9991568, COVERAGE_ITEM: 0.6284404, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.3185458, SHANNON_ENTROPY: 10.6016166, 
CUTOFF: 10 - ROC_AUC: 0.5104613, PRECISION: 0.0720468, PRECISION_RECALL_MIN_DEN: 0.7204678, RECALL: 0.7204678, MAP: 0.3488209, MRR: 0.3488209, NDCG: 0.4367191, F1: 0.1309942, HIT_RATE: 0.7204678, ARHR: 0.3488209, NOVELTY: 0.0293200, AVERAGE_POPULARITY: 0.2173761, DIVERSITY_MEAN_INTER_LIST: 0.9925693, DIVERSITY_HERFINDAHL: 0.9991989, COVERAGE_ITEM: 0.6500270, COVERAGE_USER: 1.0005851, DIVERSITY_GINI: 0.3313597, SHANNON_ENTROPY: 10.6594855, 

********* 2 numero epoca corrente *********

Evaluator All User
CUTOFF: 1 - ROC_AUC: 0.2096026, PRECISION: 0.2096026, PRECISION_RECALL_MIN_DEN: 0.2096026, RECALL: 0.2096026, MAP: 0.2096026, MRR: 0.2096026, NDCG: 0.2096026, F1: 0.2096026, HIT_RATE: 0.2096026, ARHR: 0.2096026, NOVELTY: 0.0027608, AVERAGE_POPULARITY: 0.3154450, DIVERSITY_MEAN_INTER_LIST: 0.9983404, DIVERSITY_HERFINDAHL: 0.9981751, COVERAGE_ITEM: 0.3680518, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1768717, SHANNON_ENTROPY: 9.7069777, 
CUTOFF: 2 - ROC_AUC: 0.2096026, PRECISION: 0.1682119, PRECISION_RECALL_MIN_DEN: 0.3364238, RECALL: 0.3364238, MAP: 0.2730132, MRR: 0.2730132, NDCG: 0.2896179, F1: 0.2242826, HIT_RATE: 0.3364238, ARHR: 0.2730132, NOVELTY: 0.0055923, AVERAGE_POPULARITY: 0.2920342, DIVERSITY_MEAN_INTER_LIST: 0.9972941, DIVERSITY_HERFINDAHL: 0.9985645, COVERAGE_ITEM: 0.4897464, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2176724, SHANNON_ENTROPY: 10.0334506, 
CUTOFF: 3 - ROC_AUC: 0.2730132, PRECISION: 0.1414459, PRECISION_RECALL_MIN_DEN: 0.4243377, RECALL: 0.4243377, MAP: 0.3023179, MRR: 0.3023179, NDCG: 0.3335749, F1: 0.2121689, HIT_RATE: 0.4243377, ARHR: 0.3023179, NOVELTY: 0.0084739, AVERAGE_POPULARITY: 0.2745057, DIVERSITY_MEAN_INTER_LIST: 0.9965064, DIVERSITY_HERFINDAHL: 0.9987805, COVERAGE_ITEM: 0.5572045, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2457213, SHANNON_ENTROPY: 10.2230176, 
CUTOFF: 4 - ROC_AUC: 0.3234547, PRECISION: 0.1230132, PRECISION_RECALL_MIN_DEN: 0.4920530, RECALL: 0.4920530, MAP: 0.3192467, MRR: 0.3192467, NDCG: 0.3627382, F1: 0.1968212, HIT_RATE: 0.4920530, ARHR: 0.3192467, NOVELTY: 0.0113966, AVERAGE_POPULARITY: 0.2607327, DIVERSITY_MEAN_INTER_LIST: 0.9958215, DIVERSITY_HERFINDAHL: 0.9989142, COVERAGE_ITEM: 0.6146789, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2695002, SHANNON_ENTROPY: 10.3635742, 
CUTOFF: 5 - ROC_AUC: 0.3656043, PRECISION: 0.1091722, PRECISION_RECALL_MIN_DEN: 0.5458609, RECALL: 0.5458609, MAP: 0.3300083, MRR: 0.3300083, NDCG: 0.3835540, F1: 0.1819536, HIT_RATE: 0.5458609, ARHR: 0.3300083, NOVELTY: 0.0143355, AVERAGE_POPULARITY: 0.2509710, DIVERSITY_MEAN_INTER_LIST: 0.9951782, DIVERSITY_HERFINDAHL: 0.9990027, COVERAGE_ITEM: 0.6581220, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2869584, SHANNON_ENTROPY: 10.4599526, 
CUTOFF: 6 - ROC_AUC: 0.4016556, PRECISION: 0.0980408, PRECISION_RECALL_MIN_DEN: 0.5882450, RECALL: 0.5882450, MAP: 0.3370723, MRR: 0.3370723, NDCG: 0.3986515, F1: 0.1680700, HIT_RATE: 0.5882450, ARHR: 0.3370723, NOVELTY: 0.0173009, AVERAGE_POPULARITY: 0.2423025, DIVERSITY_MEAN_INTER_LIST: 0.9946087, DIVERSITY_HERFINDAHL: 0.9990740, COVERAGE_ITEM: 0.6875337, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3027335, SHANNON_ENTROPY: 10.5406578, 
CUTOFF: 7 - ROC_AUC: 0.4327539, PRECISION: 0.0893330, PRECISION_RECALL_MIN_DEN: 0.6253311, RECALL: 0.6253311, MAP: 0.3423703, MRR: 0.3423703, NDCG: 0.4110135, F1: 0.1563328, HIT_RATE: 0.6253311, ARHR: 0.3423703, NOVELTY: 0.0202891, AVERAGE_POPULARITY: 0.2345318, DIVERSITY_MEAN_INTER_LIST: 0.9940832, DIVERSITY_HERFINDAHL: 0.9991312, COVERAGE_ITEM: 0.7158662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3167450, SHANNON_ENTROPY: 10.6087549, 
CUTOFF: 8 - ROC_AUC: 0.4602649, PRECISION: 0.0819329, PRECISION_RECALL_MIN_DEN: 0.6554636, RECALL: 0.6554636, MAP: 0.3461369, MRR: 0.3461369, NDCG: 0.4205193, F1: 0.1456586, HIT_RATE: 0.6554636, ARHR: 0.3461369, NOVELTY: 0.0232950, AVERAGE_POPULARITY: 0.2277676, DIVERSITY_MEAN_INTER_LIST: 0.9935858, DIVERSITY_HERFINDAHL: 0.9991777, COVERAGE_ITEM: 0.7393416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3293718, SHANNON_ENTROPY: 10.6665778, 
CUTOFF: 9 - ROC_AUC: 0.4846647, PRECISION: 0.0760670, PRECISION_RECALL_MIN_DEN: 0.6846026, RECALL: 0.6846026, MAP: 0.3493745, MRR: 0.3493745, NDCG: 0.4292910, F1: 0.1369205, HIT_RATE: 0.6846026, ARHR: 0.3493745, NOVELTY: 0.0263287, AVERAGE_POPULARITY: 0.2212836, DIVERSITY_MEAN_INTER_LIST: 0.9931358, DIVERSITY_HERFINDAHL: 0.9992190, COVERAGE_ITEM: 0.7549919, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3422266, SHANNON_ENTROPY: 10.7213652, 
CUTOFF: 10 - ROC_AUC: 0.5068801, PRECISION: 0.0706291, PRECISION_RECALL_MIN_DEN: 0.7062914, RECALL: 0.7062914, MAP: 0.3515434, MRR: 0.3515434, NDCG: 0.4355605, F1: 0.1284166, HIT_RATE: 0.7062914, ARHR: 0.3515434, NOVELTY: 0.0293729, AVERAGE_POPULARITY: 0.2155446, DIVERSITY_MEAN_INTER_LIST: 0.9927016, DIVERSITY_HERFINDAHL: 0.9992537, COVERAGE_ITEM: 0.7695629, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3536637, SHANNON_ENTROPY: 10.7682510, 

Evaluator M User
CUTOFF: 1 - ROC_AUC: 0.2121912, PRECISION: 0.2121912, PRECISION_RECALL_MIN_DEN: 0.2121912, RECALL: 0.2121912, MAP: 0.2121912, MRR: 0.2121912, NDCG: 0.2121912, F1: 0.2121912, HIT_RATE: 0.2121912, ARHR: 0.2121912, NOVELTY: 0.0027615, AVERAGE_POPULARITY: 0.3146218, DIVERSITY_MEAN_INTER_LIST: 0.9983601, DIVERSITY_HERFINDAHL: 0.9981296, COVERAGE_ITEM: 0.3297356, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1687722, SHANNON_ENTROPY: 9.6299638, 
CUTOFF: 2 - ROC_AUC: 0.2121912, PRECISION: 0.1694759, PRECISION_RECALL_MIN_DEN: 0.3389517, RECALL: 0.3389517, MAP: 0.2755715, MRR: 0.2755715, NDCG: 0.2921682, F1: 0.2259678, HIT_RATE: 0.3389517, ARHR: 0.2755715, NOVELTY: 0.0055892, AVERAGE_POPULARITY: 0.2927863, DIVERSITY_MEAN_INTER_LIST: 0.9972934, DIVERSITY_HERFINDAHL: 0.9985316, COVERAGE_ITEM: 0.4479223, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2109192, SHANNON_ENTROPY: 9.9801616, 
CUTOFF: 3 - ROC_AUC: 0.2755715, PRECISION: 0.1419226, PRECISION_RECALL_MIN_DEN: 0.4257677, RECALL: 0.4257677, MAP: 0.3045101, MRR: 0.3045101, NDCG: 0.3355762, F1: 0.2128839, HIT_RATE: 0.4257677, ARHR: 0.3045101, NOVELTY: 0.0084689, AVERAGE_POPULARITY: 0.2752255, DIVERSITY_MEAN_INTER_LIST: 0.9964958, DIVERSITY_HERFINDAHL: 0.9987552, COVERAGE_ITEM: 0.5159201, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2391211, SHANNON_ENTROPY: 10.1777705, 
CUTOFF: 4 - ROC_AUC: 0.3256369, PRECISION: 0.1234126, PRECISION_RECALL_MIN_DEN: 0.4936504, RECALL: 0.4936504, MAP: 0.3214808, MRR: 0.3214808, NDCG: 0.3648117, F1: 0.1974602, HIT_RATE: 0.4936504, ARHR: 0.3214808, NOVELTY: 0.0113902, AVERAGE_POPULARITY: 0.2610023, DIVERSITY_MEAN_INTER_LIST: 0.9958216, DIVERSITY_HERFINDAHL: 0.9988979, COVERAGE_ITEM: 0.5731247, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2638262, SHANNON_ENTROPY: 10.3274760, 
