1, 0.2120861, 0.2120861, 0.2120861, 0.2120861, 0.2120861, 0.2120861, 0.2120861, 0.2120861, 0.2120861, 0.2120861, 0.0027528, 0.3208708, 0.9982607, 0.9980954, 0.3648138, 1.0000000, 0.1728790, 9.6694570
2, 0.2120861, 0.1687914, 0.3375828, 0.3375828, 0.2748344, 0.2748344, 0.2912657, 0.2250552, 0.3375828, 0.2748344, 0.0055819, 0.2950301, 0.9972294, 0.9985322, 0.4827307, 1.0000000, 0.2136067, 10.0058973
3, 0.2748344, 0.1419426, 0.4258278, 0.4258278, 0.3042494, 0.3042494, 0.3353882, 0.2129139, 0.4258278, 0.3042494, 0.0084576, 0.2774002, 0.9964238, 0.9987530, 0.5536967, 1.0000000, 0.2412598, 10.1970294
4, 0.3251656, 0.1235927, 0.4943709, 0.4943709, 0.3213852, 0.3213852, 0.3649081, 0.1977483, 0.4943709, 0.3213852, 0.0113766, 0.2631779, 0.9957489, 0.9988960, 0.6092822, 1.0000000, 0.2652029, 10.3411859
5, 0.3674669, 0.1092715, 0.5463576, 0.5463576, 0.3317826, 0.3317826, 0.3850193, 0.1821192, 0.5463576, 0.3317826, 0.0143089, 0.2534219, 0.9950877, 0.9989846, 0.6513761, 1.0000000, 0.2822925, 10.4368195
6, 0.4032450, 0.0985375, 0.5912252, 0.5912252, 0.3392605, 0.3392605, 0.4010015, 0.1689215, 0.5912252, 0.3392605, 0.0172708, 0.2445926, 0.9945167, 0.9990587, 0.6824069, 1.0000000, 0.2982918, 10.5200686
7, 0.4345751, 0.0899007, 0.6293046, 0.6293046, 0.3447004, 0.3447004, 0.4136946, 0.1573262, 0.6293046, 0.3447004, 0.0202531, 0.2367941, 0.9939729, 0.9991155, 0.7112790, 1.0000000, 0.3118217, 10.5869415
8, 0.4623936, 0.0822848, 0.6582781, 0.6582781, 0.3483221, 0.3483221, 0.4228347, 0.1462840, 0.6582781, 0.3483221, 0.0232560, 0.2297386, 0.9934828, 0.9991648, 0.7325958, 1.0000000, 0.3247508, 10.6469030
9, 0.4868791, 0.0763061, 0.6867550, 0.6867550, 0.3514862, 0.3514862, 0.4314071, 0.1373510, 0.6867550, 0.3514862, 0.0262859, 0.2232877, 0.9930246, 0.9992067, 0.7520237, 1.0000000, 0.3376832, 10.7031671
10, 0.5090876, 0.0707947, 0.7079470, 0.7079470, 0.3536054, 0.3536054, 0.4375330, 0.1287176, 0.7079470, 0.3536054, 0.0293309, 0.2173148, 0.9926024, 0.9992438, 0.7671344, 1.0000000, 0.3496662, 10.7529138
